Пенелопа Кристал;False
Палумна Лавгуд;False
Ханна Абот;True
Флёр Делакур;False
Астория Гринграсс;False
Джини Уизли;False
Лили Поттер;True
Нимфадора Тонкс;False
Дафна Гринграсс;False
Астория Гринграсс;True
Пэнси Паркинсон;False
Дельфини;False
Дадли Дурсль;False
Невилл Долгопупс;True
Симус Финниган;False
Седрик Диггори;False
Кингсли Бруствер;False
Виктор Крам;False
Блейз Забини;False
Дин Томас;True
Что получится, если я смешаю измельченный корень асфоделя с настойкой полыни?;False
Какое растение является противоядием от большинства ядов?;True
Если я попрошу вас принести мне безоаровый камень, где вы будете его искать?;False
В чем разница между волчьей отравой и клобуком монаха?;False
Агриппа;False
Амелия;False
Сьюзан;False
Августа;True
Блейз Забини;False
Невилл Долгопупс;True
Джини Уизли;False
Кормак Маклагген;False
Сосновая свежесть;True
Капут драконис;False
Чепуха;False
Мимбулус Мемблетония;False
Курс скоромагии;True
Стандартная книга заклинаний для начинающих волшебников и сквибов;False
«Теория магии для сквибов» Миранды Гуссокл;False
«Магия заклинаний. Начинающий уровень» Адальберта Уоффлинга;False
Шкура бумсланга;False
Частица того, в которого вы хотите превратиться;False
Настойка полыни;True
Порошок из рога двурога;False
Марволо Реддл и Изольда Мракс;False
Марволо Реддл и Изольда Мракс;False
Том Реддл и Кадма Певерелл;False
Том Реддл и Меропа Мракс;True
Альбус Вулфрик Персиваль Брайан Дамблдор;False
Альбус Персиваль Вулфрик Брайан Дамблдор;True
Альбус Персиваль Брайан Вулфрик Дамблдор;False
Альбус Брайн Персиваль Вулфрик Дамблдор;False
Молния! Как у Гарри Поттера;False
В форме символа даров смерти;False
Схема лондонской подземки;True
Он имеет очертания Хогвартса, конечно;False
Мозгошмыг;False
Заяц;True
Выдра;False
Олень;False
Джеймс Поттер;False
Минерва Макгонагалл.;False
Билл Уизли;True
Винсент Крэбб;False
Виола;False
Визения;False
Виолетта;True
Ванесса;False
Драко Малфой;True
Блейз Забини;False
Пэнси Паркисон;False
Кормак Маклагген;False
Гермиона Грейнджер;False
Джини Уизли;False
Плакса Миртл;True
Чжоу Чанг;False
Оборотень Сивый;False
Том Реддл;True
Родольфус Лестрейндж;False
Долорес Амбридж;False
Симус Финниган;False
Дин Томас;False
Невилл Долгопупс;True
Рон Уизли;False
Волан-де-Морт;True
Гарри Поттер;False
Сириус Блэк;False
Римус Люпин;False
Гарри Поттер;True
Гораций Слизнорт;False
Том Реддел;False
Драко Малфой;False
Гарри Поттер;False
Рон Уизли;True
Джини Уизли;False
Лаванда Браун;False
